abbreviation,fullName,chargedFormula
cys_L_l,L-cysteine,C3H7NO2S
cys_L_m,L-cysteine,C3H7NO2S
cysam_c,cysteaminium,C2H8NS
cysam_e,cysteaminium,C2H8NS
cyst_L_c,L-cystathionine,C7H14N2O4S
cyst_L_m,L-cystathionine,C7H14N2O4S
cytd_c,cytidine,C9H13N3O5
cytd_e,cytidine,C9H13N3O5
cytd_l,cytidine,C9H13N3O5
cytd_m,cytidine,C9H13N3O5
cytd_n,cytidine,C9H13N3O5
dad_2_c,2'-deoxyadenosine,C10H13N5O3
dad_2_e,2'-deoxyadenosine,C10H13N5O3
dad_2_l,2'-deoxyadenosine,C10H13N5O3
dadp_c,dADP(3-),C10H12N5O9P2
dadp_m,dADP(3-),C10H12N5O9P2
dadp_n,dADP(3-),C10H12N5O9P2
dag_hs_c,diglyceride,C35H68O5
dag_hs_e,diglyceride,C35H68O5
dag_hs_n,diglyceride,C35H68O5
dag_hs_r,diglyceride,C35H68O5
dak2gpe_hs_c,1-alkenyl 2-acylglycerol 3-phosphoethanolamine plasmalogen,C21H41NO7PR
damp_c,dAMP(2-),C10H12N5O6P
damp_l,dAMP(2-),C10H12N5O6P
datp_c,dATP(4-),C10H12N5O12P3
datp_m,dATP(4-),C10H12N5O12P3
datp_n,dATP(4-),C10H12N5O12P3
dc2coa_m,trans-dec-2-enoyl-CoA(4-),C31H48N7O17P3S
dc2coa_x,trans-dec-2-enoyl-CoA(4-),C31H48N7O17P3S
dca_c,decanoate,C10H19O2
dca_e,decanoate,C10H19O2
dca_r,decanoate,C10H19O2
dcacoa_c,decanoyl-CoA(4-),C31H50N7O17P3S
dcacoa_m,decanoyl-CoA(4-),C31H50N7O17P3S
dcacoa_x,decanoyl-CoA(4-),C31H50N7O17P3S
dcamp_c,"N(6)-(1,2-dicarboxylatoethyl)-AMP(4-)",C14H14N5O11P
dcdp_c,dCDP(3-),C9H12N3O10P2
dcdp_m,dCDP(3-),C9H12N3O10P2
dcdp_n,dCDP(3-),C9H12N3O10P2
dchac_e,deoxycholate,C24H39O4
dcholcoa_c,chenodeoxycholoyl-CoA,C45H70N7O19P3S
dcholcoa_m,chenodeoxycholoyl-CoA,C45H70N7O19P3S
dcholcoa_r,chenodeoxycholoyl-CoA,C45H70N7O19P3S
dcholcoa_x,chenodeoxycholoyl-CoA,C45H70N7O19P3S
dcmp_c,dCMP(2-),C9H12N3O7P
dcmp_e,dCMP(2-),C9H12N3O7P
dcmp_l,dCMP(2-),C9H12N3O7P
dcmp_m,dCMP(2-),C9H12N3O7P
dcmp_n,dCMP(2-),C9H12N3O7P
dcsptn1_c,"(4Z,7Z,10Z,13Z,16Z)-docosa-4,7,10,13,16-pentaenoic acid",C22H33O2
dcsptn1_e,"(4Z,7Z,10Z,13Z,16Z)-docosa-4,7,10,13,16-pentaenoic acid",C22H33O2
dcsptn1coa_c,"docosa-4,7,10,13,16-pentaenoyl coenzyme A",C43H64N7O17P3S
dcsptn1coa_m,"docosa-4,7,10,13,16-pentaenoyl coenzyme A",C43H64N7O17P3S
dcsptn1coa_x,"docosa-4,7,10,13,16-pentaenoyl coenzyme A",C43H64N7O17P3S
dcsptn1crn_c,"docosa-4,7,10,13,16-pentaenoyl carnitine",C29H47NO4
dcsptn1crn_m,"docosa-4,7,10,13,16-pentaenoyl carnitine",C29H47NO4
dctp_c,dCTP,C9H12N3O13P3
dctp_m,dCTP,C9H12N3O13P3
dctp_n,dCTP,C9H12N3O13P3
dcyt_c,2'-deoxycytidine,C9H13N3O4
dcyt_e,2'-deoxycytidine,C9H13N3O4
dcyt_l,2'-deoxycytidine,C9H13N3O4
dcyt_m,2'-deoxycytidine,C9H13N3O4
dcyt_n,2'-deoxycytidine,C9H13N3O4
dd2coa_c,trans-dodec-2-enoyl-CoA(4-),C33H52N7O17P3S
dd2coa_m,trans-dodec-2-enoyl-CoA(4-),C33H52N7O17P3S
dd2coa_x,trans-dodec-2-enoyl-CoA(4-),C33H52N7O17P3S
dd3coa_m,cis-dodec-3-enoyl-CoA(4-),C33H52N7O17P3S
dd3coa_x,cis-dodec-3-enoyl-CoA(4-),C33H52N7O17P3S
dd5ecoa_m,5-dodecenoylcoa,C33H52N7O17P3S
ddcaACP_c,Dodecanoyl-[acyl-carrier protein],C12H23OSR
ddca_c,dodecanoate,C12H23O2
ddcacoa_c,lauroyl-CoA(4-),C33H54N7O17P3S
ddcacoa_m,lauroyl-CoA(4-),C33H54N7O17P3S
ddcacoa_x,lauroyl-CoA(4-),C33H54N7O17P3S
ddeccrn_c,O-lauroyl-L-carnitine,C19H37NO4
ddeccrn_e,O-lauroyl-L-carnitine,C19H37NO4
ddece1crn_c,dodecenoyl carnitine,C19H35NO4
ddece1crn_e,dodecenoyl carnitine,C19H35NO4
ddsmsterol_r,7-dehydrodesmosterol,C27H42O
debrisoquine_c,debrisoquin,C10H14N3
debrisoquine_e,debrisoquin,C10H14N3
decdicoa_m,"(2-trans,4-cis)-deca-2,4-dienoyl-CoA",C31H50N7O17P3S
decdicoa_x,"(2-trans,4-cis)-deca-2,4-dienoyl-CoA",C31H50N7O17P3S
dec47dicoa_m,"4,7-decadienoylcoa",C31H46N7O17P3S
dec47dicoa_x,"4,7-decadienoylcoa",C31H46N7O17P3S
decdicoa_c,"(2-trans,4-cis)-deca-2,4-dienoyl-CoA",C31H50N7O17P3S
decdicrn_c,decadienoyl carnitine,C17H29NO4
decdicrn_e,decadienoyl carnitine,C17H29NO4
decdp_c,all trans Decaprenyl diphosphate,C50H81O7P2
decdp_m,all trans Decaprenyl diphosphate,C50H81O7P2
dece3coa_m,trans-dec-3-enoyl-CoA(4-),C31H48N7O17P3S
dece3coa_x,trans-dec-3-enoyl-CoA(4-),C31H48N7O17P3S
dece4coa_m,cis-dec-4-enoyl-CoA,C31H52N7O17P3S
dece4coa_x,cis-dec-4-enoyl-CoA,C31H52N7O17P3S
dectricoa_m,"2,4,7-decatrienoylcoa",C31H44N7O17P3S
dectricoa_x,"2,4,7-decatrienoylcoa",C31H44N7O17P3S
dedol_U_c,dehydrodolichol,C20H34O
dedoldp_U_c,"Dehydrodolichol diphosphate, human uterine homolog",C20H36O7P2
dedolp_U_c,dehydrodolichol phosphate,C20H35O4P
dem2emgacpail_prot_hs_r,"deacylated-(phosphoethanolaminyl-dimannosyl),(phosphoethanolaminyl)-mannosyl-glucosaminyl-acylphosphatidylinositol",C69H132N3O38P3
dgchol_c,glycochenodeoxycholate,C26H43NO5
dgchol_e,glycochenodeoxycholate,C26H43NO5
dgchol_x,glycochenodeoxycholate,C26H43NO5
dgdp_c,dGDP(2-),C10H12N5O10P2
dgdp_m,dGDP(2-),C10H12N5O10P2
dgdp_n,dGDP(2-),C10H12N5O10P2
dgmp_c,dGMP(2-),C10H12N5O7P
dgmp_e,dGMP(2-),C10H12N5O7P
dgmp_l,dGMP(2-),C10H12N5O7P
dgmp_m,dGMP(2-),C10H12N5O7P
dgpi_prot_hs_r,deacylated-glycophosphatidylinositol (GPI)-anchored protein,C71H138N4O41P4
dgsn_c,2'-deoxyguanosine,C10H13N5O4
dgsn_e,2'-deoxyguanosine,C10H13N5O4
dgsn_l,2'-deoxyguanosine,C10H13N5O4
dgsn_m,2'-deoxyguanosine,C10H13N5O4
dgtp_c,dGTP,C10H12N5O13P3
dgtp_e,dGTP,C10H12N5O13P3
dgtp_m,dGTP,C10H12N5O13P3
dgtp_n,dGTP,C10H12N5O13P3
dha_c,glycerone,C3H6O3
dha_e,glycerone,C3H6O3
dhap_c,glycerone phosphate(2-),C3H5O6P
dhap_e,glycerone phosphate(2-),C3H5O6P
dhap_m,glycerone phosphate(2-),C3H5O6P
dhap_x,glycerone phosphate(2-),C3H5O6P
dhbpt_c,"6,7-dihydrobiopterin",C9H13N5O3
dhcholestanate_c,"3alpha,7alpha-dihydroxy-5beta-cholestan-26-oic acid",C27H45O4
dhcholestanate_m,"3alpha,7alpha-dihydroxy-5beta-cholestan-26-oic acid",C27H45O4
dhcholestanate_r,"3alpha,7alpha-dihydroxy-5beta-cholestan-26-oic acid",C27H45O4
dhcholestanate_x,"3alpha,7alpha-dihydroxy-5beta-cholestan-26-oic acid",C27H45O4
dhcholestancoa_c,"3alpha,7alpha-dihydroxy-5beta-cholestan-26-oyl-CoA",C48H76N7O19P3S
dhcholestancoa_m,"3alpha,7alpha-dihydroxy-5beta-cholestan-26-oyl-CoA",C48H76N7O19P3S
dhcholestancoa_r,"3alpha,7alpha-dihydroxy-5beta-cholestan-26-oyl-CoA",C48H76N7O19P3S
dhcholestancoa_x,"3alpha,7alpha-dihydroxy-5beta-cholestan-26-oyl-CoA",C48H76N7O19P3S
dhcholoylcoa_c,"3alpha,7alpha-dihydroxy-5beta-cholest-24-enoyl-CoA",C48H74N7O19P3S
dhcholoylcoa_m,"3alpha,7alpha-dihydroxy-5beta-cholest-24-enoyl-CoA",C48H74N7O19P3S
dhcholoylcoa_r,"3alpha,7alpha-dihydroxy-5beta-cholest-24-enoyl-CoA",C48H74N7O19P3S
dhcholoylcoa_x,"3alpha,7alpha-dihydroxy-5beta-cholest-24-enoyl-CoA",C48H74N7O19P3S
dhcrm_hs_c,dihydroceramide,C34H69NO3
dhdascb_c,dehydroascorbide(1-),C6H5O6
dhdascb_e,dehydroascorbide(1-),C6H5O6
dhea_c,dehydroepiandrosterone,C19H28O2
dhea_m,dehydroepiandrosterone,C19H28O2
dhea_r,dehydroepiandrosterone,C19H28O2
dheas_c,dehydroepiandrosterone sulfate(1-),C19H27O5S
dheas_e,dehydroepiandrosterone sulfate(1-),C19H27O5S
dheas_r,dehydroepiandrosterone sulfate(1-),C19H27O5S
dhf_c,dihydrofolate(2-),C19H19N7O6
dhf_e,dihydrofolate(2-),C19H19N7O6
dhf_l,dihydrofolate(2-),C19H19N7O6
dhf_m,dihydrofolate(2-),C19H19N7O6
dhlam_m,dihydrolipoamide,C8H17NOS2
dhlpro_m,Dihydrolipoylprotein,C8H16NOS2R
dhor_S_c,(S)-dihydroorotate,C5H5N2O4
didp_c,2'-deoxyinosine-5'-diphosphate,C10H11N4O10P2
didp_m,2'-deoxyinosine-5'-diphosphate,C10H11N4O10P2
didp_n,2'-deoxyinosine-5'-diphosphate,C10H11N4O10P2
digalsgalside_hs_c,Digalactosylceramidesulfate,C46H87NO16S
digalsgalside_hs_e,Digalactosylceramidesulfate,C46H87NO16S
digalsgalside_hs_g,Digalactosylceramidesulfate,C46H87NO16S
digalside_hs_c,Digalactosylceramide,C46H87NO13
digalside_hs_g,Digalactosylceramide,C46H87NO13
digalside_hs_l,Digalactosylceramide,C46H87NO13
dimp_c,2'-deoxy-5'-inosinic acid,C10H11N4O7P
din_c,2'-deoxyinosine,C10H12N4O4
din_e,2'-deoxyinosine,C10H12N4O4
ditp_c,dITP(4-),C10H11N4O13P3
ditp_m,dITP(4-),C10H11N4O13P3
ditp_n,dITP(4-),C10H11N4O13P3
dkmpp_c,"5-(methylsulfanyl)-2,3-dioxopentyl phosphate(2-)",C6H9O6PS
dlnlcg_c,"all-cis-icosa-8,11,14-trienoate",C20H33O2
dlnlcg_e,"all-cis-icosa-8,11,14-trienoate",C20H33O2
dlnlcgcoa_c,"all-cis-icosa-8,11,14-trienoyl-CoA",C41H64N7O17P3S
dlnlcgcoa_m,"all-cis-icosa-8,11,14-trienoyl-CoA",C41H64N7O17P3S
dlnlcgcoa_r,"all-cis-icosa-8,11,14-trienoyl-CoA",C41H64N7O17P3S
dlnlcgcrn_c,dihomo-gamma-linolenyl carnitine,C27H47NO4
dlnlcgcrn_m,dihomo-gamma-linolenyl carnitine,C27H47NO4
dmantipyrine_c,edaravone,C10H10N2O
dmantipyrine_e,edaravone,C10H10N2O
dmgly_c,"N,N-dimethylglycine",C4H9NO2
dmgly_m,"N,N-dimethylglycine",C4H9NO2
dmhptcoa_c,"2,6-dimethylheptanoyl-CoA(4-)",C30H48N7O17P3S
dmhptcoa_m,"2,6-dimethylheptanoyl-CoA(4-)",C30H48N7O17P3S
dmhptcrn_c,"2,6 dimethylheptanoyl carnitine",C16H31NO4
dmhptcrn_e,"2,6 dimethylheptanoyl carnitine",C16H31NO4
dmhptcrn_m,"2,6 dimethylheptanoyl carnitine",C16H31NO4
dmnoncoa_c,"4,8 dimethylnonanoyl-CoA",C32H52N7O17P3S
dmnoncoa_m,"4,8 dimethylnonanoyl-CoA",C32H52N7O17P3S
dmnoncoa_x,"4,8 dimethylnonanoyl-CoA",C32H52N7O17P3S
dmnoncrn_c,"O-(4,8-dimethylnonanoyl)carnitine",C18H35NO4
dmnoncrn_m,"O-(4,8-dimethylnonanoyl)carnitine",C18H35NO4
dmnoncrn_x,"O-(4,8-dimethylnonanoyl)carnitine",C18H35NO4
dmpp_c,prenyl diphosphate(3-),C5H9O7P2
dmpp_x,prenyl diphosphate(3-),C5H9O7P2
dna5mtc_n,DNA 5-methylcytosine,C10H16N3O7P
dna_n,DNA cytosine,C9H14N3O7P
dnad_c,deamido-NAD(+),C21H24N6O15P2
dnad_m,deamido-NAD(+),C21H24N6O15P2
dnad_n,deamido-NAD(+),C21H24N6O15P2
doco13ac_e,erucic acid,C22H42O2
doco13ecoa_c,13-docosenoylcoa,C43H72N7O17P3S
doco13ecoa_x,13-docosenoylcoa,C43H72N7O17P3S
docohepcoa_m,"2,4,7,10,13,16,19-docosaheptenoylcoa",C43H60N7O17P3S
docohexcoa_m,"2,4,7,10,13,16-docosahexenoylcoa",C43H62N7O17P3S
docohexcoa_x,"2,4,7,10,13,16-docosahexenoylcoa",C43H62N7O17P3S
docosac_c,behenate,C22H43O2
docosac_e,behenate,C22H43O2
docosac_r,behenate,C22H43O2
docosahexcoa_m,"3,7,10,13,16,19-docosahexenoylcoa",C43H62N7O17P3S
docoscoa_c,behenoyl-CoA(4-),C43H74N7O17P3S
docoscoa_x,behenoyl-CoA(4-),C43H74N7O17P3S
docosdiac_c,docosanedioicacid,C22H40O4
docosdiac_e,docosanedioicacid,C22H40O4
docosdiac_r,docosanedioicacid,C22H40O4
dodecanac_c,dodecanedioic acid,C12H22O4
dodecanac_x,dodecanedioic acid,C12H22O4
doldp_U_r,dolichyl diphosphate,C20H38O7P2
dolglcp_U_c,dolichyl beta-D-glucosyl phosphate,C26H47O9P
dolglcp_U_r,dolichyl beta-D-glucosyl phosphate,C26H47O9P
dolichol_U_c,dolichol,C20H36O
dolichol_U_r,dolichol,C20H36O
dolmanp_U_c,dolichyl D-mannosyl phosphate,C26H47O9P
dolmanp_U_r,dolichyl D-mannosyl phosphate,C26H47O9P
dolp_U_c,dolichyl phosphate(2-),C20H35O4P
dolp_U_r,dolichyl phosphate(2-),C20H35O4P
dopa_c,dopaminium(1+),C8H12NO2
dopa_e,dopaminium(1+),C8H12NO2
dopa_l,dopaminium(1+),C8H12NO2
dopa_x,dopaminium(1+),C8H12NO2
dopaqn_c,L-dopaquinone,C9H9NO4
dopaqn_x,L-dopaquinone,C9H9NO4
dopasf_c,dopamine 3-O-sulfate,C8H11NO5S
dopasf_e,dopamine 3-O-sulfate,C8H11NO5S
dpcoa_c,3'-dephospho-CoA(2-),C21H33N7O13P2S
dpcoa_e,3'-dephospho-CoA(2-),C21H33N7O13P2S
dpcoa_l,3'-dephospho-CoA(2-),C21H33N7O13P2S
dpcoa_m,3'-dephospho-CoA(2-),C21H33N7O13P2S
drib_c,2-deoxy-D-ribose,C5H10O4
drib_e,2-deoxy-D-ribose,C5H10O4
dsT_antigen_g,disialyl-T antigen,C83H132N12O56
dsmsterol_c,desmosterol,C27H44O
dsmsterol_n,desmosterol,C27H44O
dsmsterol_r,desmosterol,C27H44O
dtdp4d6dg_c,dTDP-4-dehydro-6-deoxy-alpha-D-glucose(2-),C16H22N2O15P2
dtdp4d6dm_c,dTDP-4-dehydro-6-deoxy-L-mannose(2-),C16H22N2O15P2
dtdp_c,dTDP(3-),C10H13N2O11P2
dtdp_e,dTDP(3-),C10H13N2O11P2
dtdp_m,dTDP(3-),C10H13N2O11P2
dtdp_n,dTDP(3-),C10H13N2O11P2
dtdpglu_c,dTDP-alpha-D-glucose(2-),C16H24N2O16P2
dtdprmn_c,dTDP-L-rhamnose,C16H26N2O15P2
dtmp_c,dTMP(2-),C10H13N2O8P
dtmp_e,dTMP(2-),C10H13N2O8P
dtmp_l,dTMP(2-),C10H13N2O8P
dtmp_m,dTMP(2-),C10H13N2O8P
dtmp_n,dTMP(2-),C10H13N2O8P
dttOX_c,"trans-1,2-dithiane-4,5-diol",C4H8O2S2
dtt_c,"1,4-dithiothreitol",C4H10O2S2
dttp_c,dTTP(4-),C10H13N2O14P3
dttp_e,dTTP(4-),C10H13N2O14P3
dttp_m,dTTP(4-),C10H13N2O14P3
dttp_n,dTTP(4-),C10H13N2O14P3
dudp_c,dUDP(3-),C9H11N2O11P2
dudp_m,dUDP(3-),C9H11N2O11P2
dudp_n,dUDP(3-),C9H11N2O11P2
dump_c,dUMP(2-),C9H11N2O8P
dump_m,dUMP(2-),C9H11N2O8P
dump_n,dUMP(2-),C9H11N2O8P
duri_c,2'-deoxyuridine,C9H12N2O5
duri_e,2'-deoxyuridine,C9H12N2O5
duri_m,2'-deoxyuridine,C9H12N2O5
duri_n,2'-deoxyuridine,C9H12N2O5
dutp_c,dUTP,C9H11N2O14P3
dutp_m,dUTP,C9H11N2O14P3
dutp_n,dUTP,C9H11N2O14P3
dxtrn_c,"phosphorylase-limit dextrin (glycogenin-1,6{4[1,4-Glc], 4[1,4-Glc]})",C1779H3237N455O877S14
e4hglu_c,erythro-4-hydroxy-L-glutamate(1-),C5H8NO5
e4hglu_m,erythro-4-hydroxy-L-glutamate(1-),C5H8NO5
e4p_c,D-erythrose 4-phosphate(2-),C4H7O7P
eaflatoxin_c,"aflatoxin B1 exo-8,9-epoxide",C17H12O7
eaflatoxin_e,"aflatoxin B1 exo-8,9-epoxide",C17H12O7
eandrstrn_r,16alpha-hydroxydehydroepiandrosterone,C19H28O3
ebastine_c,Ebastine,C32H39NO2
ebastine_e,Ebastine,C32H39NO2
ebastine_r,Ebastine,C32H39NO2
ebastineoh_c,hydroxylated ebastine,C32H39NO3
ebastineoh_e,hydroxylated ebastine,C32H39NO3
ebastineoh_r,hydroxylated ebastine,C32H39NO3
ecgon_r,ecgonine,C9H14NO3
egme_r,ecgoninium methyl ester(1+),C10H17NO3
ei11ecoa_x,11-eicosenoylcoa,C41H68N7O17P3S
eicostet_c,icosatetraenoic acid,C20H31O2
eicostet_e,icosatetraenoic acid,C20H31O2
eicostetcoa_c,"(8Z,11Z,14Z,17Z)-icosatetraenoyl-CoA(4-)",C41H62N7O17P3S
eicostetcoa_m,"(8Z,11Z,14Z,17Z)-icosatetraenoyl-CoA(4-)",C41H62N7O17P3S
eicostetcrn_c,Eicosatetranoyl carnitine,C27H45NO4
eicostetcrn_m,Eicosatetranoyl carnitine,C27H45NO4
eipencoa_x,"2,5,8,11,14-eicosapentaenoylcoa",C41H60N7O17P3S
eitetcoa_m,"5,8,11,14-eicosatetraenoylcoa",C41H62N7O17P3S
eitetcoa_x,"5,8,11,14-eicosatetraenoylcoa",C41H62N7O17P3S
elaid_c,elaidate,C18H33O2
elaid_e,elaidate,C18H33O2
elaidcrn_c,(9E)-octadec-9-enoylcarnitine,C25H47NO4
elaidcrn_m,(9E)-octadec-9-enoylcarnitine,C25H47NO4
em2emgacpail_hs_r,"(phosphoethanolaminyl-dimannosyl),(phosphoethanolaminyl)-mannosyl-glucosaminyl-acylphosphatidylinositol (H7)",C85H162N3O39P3
em2emgacpail_prot_hs_r,"(phosphoethanolaminyl-dimannosyl),(phosphoethanolaminyl)-mannosyl-glucosaminyl-acylphosphatidylinositol",C85H162N3O39P3
em3gacpail_hs_r,phosphoethanolaminyl-trimannosyl-glucosaminyl-acylphosphatidylinositol (H6),C83H156N2O36P2
emem2gacpail_hs_r,"(phosphoethanolaminyl-mannosyl),(phosphoethanolaminyl)-dimannosyl-glucosaminyl-acylphosphatidylinositol (H7)",C85H162N3O39P3
emgacpail_hs_r,phosphoethanolaminyl-mannosyl-glucosylaminyl-acylphosphatidylinositol (H5),C71H136N2O26P2
eryth_c,L-erythrulose,C4H8O4
estradiol_c,17beta-estradiol,C18H24O2
estradiol_e,17beta-estradiol,C18H24O2
estradiol_r,17beta-estradiol,C18H24O2
estradiolglc_c,17beta-estradiol 3-glucosiduronic acid,C24H32O8
estradiolglc_e,17beta-estradiol 3-glucosiduronic acid,C24H32O8
estradiolglc_r,17beta-estradiol 3-glucosiduronic acid,C24H32O8
estriol_c,estriol,C18H24O3
estriol_r,estriol,C18H24O3
estriolglc_c,16-Glucuronide-estriol,C24H32O9
estriolglc_e,16-Glucuronide-estriol,C24H32O9
estriolglc_r,16-Glucuronide-estriol,C24H32O9
estrone_c,estrone,C18H22O2
estrone_l,estrone,C18H22O2
estrone_r,estrone,C18H22O2
estroneglc_c,Estrone glucuronide,C24H30O8
estroneglc_e,Estrone glucuronide,C24H30O8
estroneglc_r,Estrone glucuronide,C24H30O8
estrones_c,estrone 3-sulfate(1-),C18H21O5S
estrones_e,estrone 3-sulfate(1-),C18H21O5S
estrones_r,estrone 3-sulfate(1-),C18H21O5S
etfox_m,Oxidized flavoprotein,X
etfrd_m,Reduced flavoprotein,XH2
etha_c,ethanolaminium(1+),C2H8NO
ethamp_c,O-phosphonatoethanaminium(1-),C2H7NO4P
ethamp_r,O-phosphonatoethanaminium(1-),C2H7NO4P
etoh_c,ethanol,C2H6O
etoh_e,ethanol,C2H6O
etoh_x,ethanol,C2H6O
f1a_g,F1alpha,C69H113N11O45
f1a_l,F1alpha,C69H113N11O45
f1p_c,keto-D-fructose 1-phosphate,C6H11O9P
f26bp_c,"beta-D-fructofuranose 2,6-bisphosphate(4-)",C6H10O12P2
f5hoxkyn_c,Formyl-5-hydroxykynurenamine,C10H13N2O3
f6p_c,D-fructose 6-phosphate(2-),C6H11O9P
fad_c,FAD,C27H31N9O15P2
fad_e,FAD,C27H31N9O15P2
fad_m,FAD,C27H31N9O15P2
fad_r,FAD,C27H31N9O15P2
fad_x,FAD,C27H31N9O15P2
fadh2_c,FADH2(2-),C27H33N9O15P2
fadh2_m,FADH2(2-),C27H33N9O15P2
fadh2_r,FADH2(2-),C27H33N9O15P2
fadh2_x,FADH2(2-),C27H33N9O15P2
fald_c,formaldehyde,CH2O
fald_e,formaldehyde,CH2O
fald_l,formaldehyde,CH2O
fald_m,formaldehyde,CH2O
fald_r,formaldehyde,CH2O
fald_x,formaldehyde,CH2O
fdp_c,"keto-D-fructose 1,6-bisphosphate",C6H10O12P2
fe2_c,iron(2+),Fe
fe2_e,iron(2+),Fe
fe2_m,iron(2+),Fe
fe3_c,iron(3+),Fe
fe3_e,iron(3+),Fe
fgam_c,N(2)-formyl-N(1)-(5-phospho-D-ribosyl)glycinamide(2-),C8H13N2O9P
ficytC_m,ferricytochrome c,C42H44FeN8O8S2R4
fmn_c,FMN(3-),C17H19N4O9P
fmn_e,FMN(3-),C17H19N4O9P
fn2m2masn_g,N(4)-{N-acetyl-beta-D-glucosaminyl-(1->2)-alpha-D-mannosyl-(1->3)-[N-acetyl-beta-D-glucosaminyl-(1->2)-alpha-D-mannosyl-(1->6)]-beta-D-mannosyl-(1->4)-N-acetyl-beta-D-glucosaminyl-(1->4)-[alpha-L-fucosyl-(1->6)]-N-acetyl-beta-D-glucosaminyl}-L-asparagine,C60H100N6O42
fna5moxam_c,Formyl-N-acetyl-5-methoxykynurenamine,C13H16N2O4
focytC_m,ferrocytochrome c,C42H44FeN8O8S2R4
fol_c,folic acid,C19H18N7O6
fol_e,folic acid,C19H18N7O6
fol_m,folic acid,C19H18N7O6
for_c,formate,CHO2
for_e,formate,CHO2
for_m,formate,CHO2
for_n,formate,CHO2
for_r,formate,CHO2
forglu_c,N-formimidoyl-L-glutamate(2-),C6H8N2O4
formcoa_c,formyl-CoA(4-),C22H32N7O17P3S
formcoa_x,formyl-CoA(4-),C22H32N7O17P3S
fpram_c,2-formamido-N(1)-(5-O-phosphonato-D-ribosyl)acetamidine,C8H15N3O8P
fprica_c,5-formamido-1-(5-phospho-D-ribosyl)imidazole-4-carboxamide(2-),C10H13N4O9P
frdp_c,"2-trans,6-trans-farnesyl diphosphate(3-)",C15H25O7P2
frdp_r,"2-trans,6-trans-farnesyl diphosphate(3-)",C15H25O7P2
frdp_x,"2-trans,6-trans-farnesyl diphosphate(3-)",C15H25O7P2
fru_c,D-fructose,C6H12O6
fru_e,D-fructose,C6H12O6
fuc12gal14acglcgalgluside_hs_g,Type IIH glycolipid,C66H120N2O27
fuc132galacglcgal14acglcgalgluside_hs_g,V3Fuc-nLc6Cer,C80H143N3O37
fuc13galacglcgal14acglcgalgluside_hs_c,III3Fuc-nLc6Cer,C80H143N3O37
fuc13galacglcgal14acglcgalgluside_hs_e,III3Fuc-nLc6Cer,C80H143N3O37
fuc13galacglcgal14acglcgalgluside_hs_g,III3Fuc-nLc6Cer,C80H143N3O37
fuc14galacglcgalgluside_hs_c,Lea glycolipid,C66H120N2O27
fuc14galacglcgalgluside_hs_e,Lea glycolipid,C66H120N2O27
fuc14galacglcgalgluside_hs_g,Lea glycolipid,C66H120N2O27
fuc1p_L_c,L-fucopyranose 1-phosphate,C6H11O8P
fuc_L_c,L-fucose,C6H12O5
fuc_L_e,L-fucose,C6H12O5
fuc_L_l,L-fucose,C6H12O5
fucacgalfucgalacglcgalgluside_hs_c,alpha-D-GalNAc-(1->3)-[alpha-L-Fuc-(1->2)]-beta-D-Gal-(1->3)-[alpha-L-Fuc-(1->4)]-beta-D-GlcNAc-(1->3)-beta-D-Gal-(1->4)-beta-D-Glc-(1->1')-Cer,C80H143N3O36
fucacgalfucgalacglcgalgluside_hs_e,alpha-D-GalNAc-(1->3)-[alpha-L-Fuc-(1->2)]-beta-D-Gal-(1->3)-[alpha-L-Fuc-(1->4)]-beta-D-GlcNAc-(1->3)-beta-D-Gal-(1->4)-beta-D-Glc-(1->1')-Cer,C80H143N3O36
fucacgalfucgalacglcgalgluside_hs_g,alpha-D-GalNAc-(1->3)-[alpha-L-Fuc-(1->2)]-beta-D-Gal-(1->3)-[alpha-L-Fuc-(1->4)]-beta-D-GlcNAc-(1->3)-beta-D-Gal-(1->4)-beta-D-Glc-(1->1')-Cer,C80H143N3O36
fucacngal14acglcgalgluside_hs_c,alpha-Neu5Ac-(2->3)-beta-D-Gal (1->4)-[alpha-L-Fuc-(1->3)]-beta-D-GlcNAc-(1->3)-beta-D-Gal-(1->4)-beta-D-Glc-(1<->1')-Cer,C77H137N3O35
fucacngal14acglcgalgluside_hs_e,alpha-Neu5Ac-(2->3)-beta-D-Gal (1->4)-[alpha-L-Fuc-(1->3)]-beta-D-GlcNAc-(1->3)-beta-D-Gal-(1->4)-beta-D-Glc-(1<->1')-Cer,C77H137N3O35
fucacngal14acglcgalgluside_hs_g,alpha-Neu5Ac-(2->3)-beta-D-Gal (1->4)-[alpha-L-Fuc-(1->3)]-beta-D-GlcNAc-(1->3)-beta-D-Gal-(1->4)-beta-D-Glc-(1<->1')-Cer,C77H137N3O35
fucacngalacglcgalgluside_hs_c,"IV3-a-Neu5Ac,III4-a-Fuc-Lc4Cer",C77H136N3O35
fucacngalacglcgalgluside_hs_e,"IV3-a-Neu5Ac,III4-a-Fuc-Lc4Cer",C77H136N3O35
fucacngalacglcgalgluside_hs_g,"IV3-a-Neu5Ac,III4-a-Fuc-Lc4Cer",C77H136N3O35
fucfuc12gal14acglcgalgluside_hs_c,alpha-L-Fuc-(1->2)-beta-D-Gal-(1->4)-[alpha-L-Fuc-(1->3)]-beta-D-GlcNAc-(1->3)-beta-D-Gal-(1->4)-beta-D-Glc-(1->1')-Cer,C72H130N2O31
